store_ID,store_name,post,address,hour,tel,kibo,parking
10000,BOOKOFF PLUS 銚子店,〒288-0815,千葉県銚子市三崎町2-2583-1,10:00～21:00,0479-21-7707,大型店舗,65台
10007,BOOKOFF 新潟黒埼インター店,〒950-1101,新潟県新潟市西区山田3326,10:00～20:00,025-201-8467,中型店舗,124台
10008,BOOKOFF 皆生店,〒683-0003,鳥取県米子市皆生4-11-19,10:00～21:00,0859-35-9553,中型店舗,34台
10009,BOOKOFF 新潟寺尾前通店,〒950-2053,新潟県新潟市西区寺尾前通1-15-1,10:00～20:00,025-265-5669,中型店舗,40台
10011,BOOKOFF 藍住店,〒771-1220,徳島県板野郡藍住町東中富字直道傍示37,10:00～21:00,088-692-6554,中型店舗,70台
10013,BOOKOFF 仙台泉バイパス店,〒981-3117,宮城県仙台市泉区市名坂楢町138-1,10:00～22:00,022-371-8311,中型店舗,40台
10016,BOOKOFF 村上店,〒958-0823,新潟県村上市仲間町237-1,10:00～20:00,0254-53-2554,小型店舗,39台
10019,BOOKOFF PLUS 高松新屋島店,〒760-0080,香川県高松市木太町2709-1,10:00～22:00,050-1792-1750,大型店舗,91台
10021,BOOKOFF 鴨島店,〒776-0013,徳島県吉野川市鴨島町上下島114-1,10:00～21:00,0883-24-9220,中型店舗,45台
10023,BOOKOFF 筑後店,〒833-0005,福岡県筑後市大字長浜2351-1,10:00～20:00,0942-53-9338,小型店舗,28台
10028,BOOKOFF 新座栗原店,〒352-0035,埼玉県新座市栗原2-3-35,10:00～21:00,0424-76-1810,小型店舗,21台
10032,BOOKOFF PLUS 仙台南バイパス店,〒981-1222,宮城県名取市上余田字千刈田231-1,10:00～21:00,022-382-6525,大型店舗,400台
10041,BOOKOFF 浜松高林店,〒430-0907,静岡県浜松市中央区高林5-6-15,10:00～22:00,053-472-2197,中型店舗,23台
10043,BOOKOFF 仙台高砂店,〒983-0012,宮城県仙台市宮城野区出花2-65-2,10:00～21:00,022-259-2790,中型店舗,34台
10045,BOOKOFF PLUS 伊那店,〒399-4431,長野県伊那市西春近2893,10:00～20:00,0265-74-5656,大型店舗,120台
10047,BOOKOFF 伏古店,〒007-0862,北海道札幌市東区伏古二条4-3-8,10:00～20:00,011-787-3141,小型店舗,50台
10048,BOOKOFF 福岡長住店,〒815-0074,福岡県福岡市南区寺塚1-29-7,10:00～20:00,092-542-8861,大型店舗,27台
10049,BOOKOFF 鶴ヶ島店,〒350-2211,埼玉県鶴ヶ島市脚折町4-9-1,10:00～21:00,049-271-0215,中型店舗,20台
10050,BOOKOFF 藤枝店,〒426-0033,静岡県藤枝市小石川町3-18-30,10:00～22:00,054-646-0135,中型店舗,30台
10054,BOOKOFF 太宰府店,〒818-0135,福岡県太宰府市向佐野4-12-12,10:00～20:00,092-929-3481,中型店舗,64台
10055,BOOKOFF 松本筑摩店,〒390-0821,長野県松本市筑摩3-2-12,10:00～20:00,0263-26-5656,中型店舗,43台
10057,BOOKOFF 西長岡店,〒940-2111,新潟県長岡市三ツ郷屋2-1-11,10:00～20:00,0258-28-5243,中型店舗,150台
10060,BOOKOFF 新所沢店,〒359-0046,埼玉県所沢市北所沢町2031-1,10:00～22:00,04-2943-2865,小型店舗,23台
10062,BOOKOFF 九産大駅前店,〒813-0001,福岡県福岡市東区唐原3-13-10,10:00～20:00,092-673-0035,中型店舗,32台
10063,BOOKOFF 厚木妻田店,〒243-0812,神奈川県厚木市妻田北1-12-21,10:00～21:00,046-223-1255,中型店舗,20台
10066,BOOKOFF 豊橋店,〒441-8107,愛知県豊橋市南栄町字空池20-1,10:00～21:00,0532-47-3213,小型店舗,30台
10070,BOOKOFF 岐阜則武店,〒502-0931,岐阜県岐阜市則武122-1,10:00～21:00,058-231-3937,中型店舗,77台
10074,BOOKOFF 函南店,〒419-0124,静岡県田方郡函南町塚本135-1,10:00～22:00,055-978-8510,中型店舗,40台
10078,BOOKOFF PLUS 登別店,〒059-0026,北海道登別市若山町4-41-2,10:00～20:00,0143-87-3840,大型店舗,40台
10081,BOOKOFF トナミ店,〒939-1372,富山県砺波市新又152-2,10:00～20:00,0763-33-0716,中型店舗,132台
10082,BOOKOFF 大府店,〒474-0053,愛知県大府市柊山町5-404,10:00～21:00,0562-48-0016,小型店舗,18台
10085,BOOKOFF 新発田店,〒957-0063,新潟県新発田市新栄町3-1-13,10:00～20:00,0254-26-6300,大型店舗,70台
10086,BOOKOFF 大和高田店,〒635-0046,奈良県大和高田市西三倉堂1-6-31,10:00～21:00,0745-23-4129,中型店舗,46台
10087,BOOKOFF 高松仏生山店,〒761-8077,香川県高松市出作町303-8,10:00～22:00,050-1724-9193,中型店舗,35台
10088,BOOKOFF 大久保店,〒611-0033,京都府宇治市大久保町旦椋126-1,10:00～21:00,0774-44-3850,中型店舗,41台
10089,BOOKOFF 塩尻店,〒399-0703,長野県塩尻市広丘高出1550-4,10:00～20:00,0263-53-5656,小型店舗,20台
10091,BOOKOFF 福山野上店,〒720-0815,広島県福山市野上町3-5-3,10:00～22:00,084-925-8236,中型店舗,30台
10095,BOOKOFF 石巻蛇田店,〒986-0861,宮城県石巻市蛇田下谷地40-1,10:00～22:00,0225-94-7591,中型店舗,53台
10100,BOOKOFF 福岡福重店,〒819-0022,福岡県福岡市西区福重4-1-7,10:00～20:00,092-882-5556,中型店舗,47台
10101,BOOKOFF 須坂店,〒382-0054,長野県須坂市高梨町2493-5,10:00～20:00,026-246-1700,小型店舗,32台
10104,BOOKOFF PLUS 高知土佐道路店,〒780-8075,高知県高知市朝倉南町8-30,10:00～21:00,088-843-9900,大型店舗,79台
10110,BOOKOFF 福井米松店,〒910-0835,福井県福井市丸山1-410,10:00～21:00,0776-52-3525,中型店舗,160台
10113,BOOKOFF 更埴店,〒387-0012,長野県千曲市大字桜堂水引282-1,10:00～20:00,026-274-1601,中型店舗,40台
10116,BOOKOFF 松江店,〒690-0823,島根県松江市西川津町4245,10:00～20:00,0852-28-1112,中型店舗,40台
10117,BOOKOFF 宇都宮今泉店,〒321-0962,栃木県宇都宮市今泉町2998-1,10:00～21:00,028-683-1667,中型店舗,200台
10120,BOOKOFF 川中島店,〒381-2221,長野県長野市川中島町御厨856-3,10:00～20:00,026-283-8181,中型店舗,23台
10121,BOOKOFF 神辺店,〒720-2122,広島県福山市神辺町新湯野3-39-6,10:00～22:00,084-963-3616,中型店舗,55台
10122,BOOKOFF 姫路三宅店,〒672-8048,兵庫県姫路市飾磨区三宅2-58,10:00～22:00,079-234-4529,中型店舗,34台
10123,BOOKOFF 宝塚安倉店,〒665-0825,兵庫県宝塚市安倉西3-422-1,10:00～21:00,0797-84-4529,中型店舗,20台
10125,BOOKOFF PLUS 堅田店,〒520-0232,滋賀県大津市真野2-29-1 プライスプラザ内,10:00～21:00,077-572-4329,大型店舗,400台
10126,BOOKOFF 奈良押熊店,〒631-0011,奈良県奈良市押熊町537-1,10:00～21:00,0742-46-4129,中型店舗,46台
10129,BOOKOFF 高槻別所店,〒569-1113,大阪府高槻市別所中の町1-1,10:00～22:00,072-685-4529,中型店舗,16台
10131,BOOKOFF 久世橋店,〒601-8212,京都府京都市南区久世上久世町779,10:00～23:00,075-922-4529,中型店舗,55台
10133,BOOKOFF 今治片山店,〒794-0063,愛媛県今治市片山3-10-33,10:00～20:00,0898-31-6580,中型店舗,79台
