店舗名,住所,緯度,経度,店舗ID,種別,電話番号,店舗規模
BOOKOFF 20号西八王子店,東京都八王子市千人町3-18-24,35.6586961,139.3139627,10639,直営,042-669-4847,小
BOOKOFF 246三軒茶屋店,東京都世田谷区太子堂1-12-27,35.6470592,139.6699374,20387,FC,03-5433-2591,小
BOOKOFF 246川崎梶ヶ谷店,神奈川県川崎市高津区下作延3-7-7,35.5919222,139.596701,20122,FC,044-870-6340,中
BOOKOFF FASHION 立川栄店,東京都立川市高松町1-24-36,35.7063727,139.4181981,20014,FC,042-529-9101,中
BOOKOFF JR稲田堤駅前店,神奈川県川崎市多摩区菅稲田堤1-3-4,35.633059,139.5342246,10586,直営,044-949-3260,小
BOOKOFF JR蒲田駅東口店,東京都大田区蒲田5-26-8,35.5637235,139.7216959,20229,FC,03-5713-7651,小
BOOKOFF PLUS 16号相模原上鶴間店,神奈川県相模原市南区上鶴間2-5-2,35.5243172,139.448551,SP015,直営,042-767-3116,大
BOOKOFF PLUS 16号相模原富士見店,神奈川県相模原市中央区富士見3-15-1,35.567605,139.3763032,SP017,直営,042-730-2370,中
BOOKOFF PLUS MINANO分倍河原店,東京都府中市片町3-22-26,35.6699594,139.472385,20409,FC,042-352-8550,中
BOOKOFF PLUS アミューあつぎ店,神奈川県厚木市中町2-12-15,35.4425102,139.3656878,20480,FC,046-297-3703,大
BOOKOFF PLUS ザ・ビッグ昭島店,東京都昭島市宮沢町500-1,35.7000519,139.3647606,20427,FC,042-549-1637,大
BOOKOFF PLUS パサージオ西新井店,東京都足立区西新井栄町1-17-1,35.7751304,139.7879781,20428,FC,03-3848-7655,中
BOOKOFF PLUS 伊勢原店,神奈川県伊勢原市伊勢原3-5-1,35.3959932,139.3135001,20020,FC,0463-96-2221,中
BOOKOFF PLUS 横浜伊勢佐木モール店,神奈川県横浜市中区伊勢佐木町1-7-7,35.4441646,139.6322484,SP056,直営,045-232-7626,中
BOOKOFF PLUS 荻窪駅北口店,東京都杉並区天沼3-3-3,35.7054842,139.6205162,20090,FC,03-5347-5098,中
BOOKOFF PLUS 古淵駅前店（アパレル・家電館）,神奈川県相模原市南区古淵2-17-15,35.5559505,139.4193144,20042,FC,042-750-5011,中
BOOKOFF PLUS 古淵駅前店（本・ソフト館）,神奈川県相模原市南区古淵2-19-14,35.5563403,139.4180798,20042,FC,042-750-5011,中
BOOKOFF PLUS 上野広小路店,東京都台東区上野4-4-4,35.7142539,139.7809193,20468,FC,03-5817-3817,中
BOOKOFF PLUS 新宿駅西口店,東京都新宿区西新宿1-10-2,35.690719,139.6941527,20472,FC,03-5909-4721,大
BOOKOFF PLUS 西五反田店,東京都品川区西五反田2-29-5,35.6254014,139.7156489,20137,FC,03-5437-6192,大
BOOKOFF PLUS 大蔵多摩堤通り店,東京都世田谷区大蔵6-20-29,35.631861,139.6123003,20082,FC,03-5494-8253,小
BOOKOFF PLUS 池袋要町店,東京都豊島区要町1-10-3,35.7332405,139.6986842,20114,FC,03-5917-5810,中
BOOKOFF PLUS 町田旭町店,東京都町田市旭町1-16-12,35.5557143,139.4410478,20413,FC,042-732-0712,中
BOOKOFF PLUS 東名川崎インター店,神奈川県川崎市宮前区土橋6-1-1,35.5864306,139.5741428,SP021,直営,044-871-5625,中
BOOKOFF PLUS 藤沢大庭店,神奈川県藤沢市大庭5454-5,35.360579,139.446351,20281,FC,0466-86-6082,中
BOOKOFF SUPER BAZAAR 409号川崎港町店,神奈川県川崎市川崎区港町12-1,35.5376,139.7094,SB016,直営,044-221-5320,大
BOOKOFF SUPER BAZAAR Luz湘南辻堂店,神奈川県藤沢市辻堂神台1-2-12,35.3408738,139.4459586,SB030,直営,0466-31-0870,大
BOOKOFF SUPER BAZAAR イトーヨーカドー八王子店,東京都八王子市狭間町1462-1,35.637,139.3173,,新店/未登録,,
BOOKOFF SUPER BAZAAR ノースポート・モール店,神奈川県横浜市都筑区中川中央1-25-1,35.5458189,139.5701357,20509,FC,045-914-3265,大
BOOKOFF SUPER BAZAAR 横浜瀬谷南台店,神奈川県横浜市瀬谷区南台1-45-2,35.4662695,139.4906862,SB006,直営,045-306-0890,大
BOOKOFF SUPER BAZAAR 横浜瀬谷南台店(ホビー・トレカ館),神奈川県横浜市瀬谷区南台1-45-3,35.4662695,139.4906862,SB006,直営,045-306-0890,大
BOOKOFF SUPER BAZAAR 横浜東戸塚オリンピック店,神奈川県横浜市戸塚区川上町52-1,35.4140101,139.5283048,SB010,直営,045-820-2864,大
